date,#Births
2015/1/1,1777
2015/1/2,1800
2015/1/3,1946
2015/1/4,2132
2015/1/5,3134
2015/1/6,3516
2015/1/7,3268
2015/1/8,3047
2015/1/9,3119
2015/1/10,2347
2015/1/11,2056
2015/1/12,2019
2015/1/13,3072
2015/1/14,3360
2015/1/15,3241
2015/1/16,3190
2015/1/17,2287
2015/1/18,2092
2015/1/19,2939
2015/1/20,3282
2015/1/21,3136
2015/1/22,2988
2015/1/23,3172
2015/1/24,2316
2015/1/25,2026
2015/1/26,3062
2015/1/27,3162
2015/1/28,3083
2015/1/29,2946
2015/1/30,2853
2015/1/31,2372
2015/2/1,2068
2015/2/2,3017
2015/2/3,3147
2015/2/4,2891
2015/2/5,2902
2015/2/6,3049
2015/2/7,2204
2015/2/8,1933
2015/2/9,2923
2015/2/10,3275
2015/2/11,2123
2015/2/12,3031
2015/2/13,3062
2015/2/14,2374
2015/2/15,1957
2015/2/16,2958
2015/2/17,3011
2015/2/18,3052
2015/2/19,2957
2015/2/20,3068
2015/2/21,2215
2015/2/22,1949
2015/2/23,3050
2015/2/24,3040
2015/2/25,2927
2015/2/26,2744
2015/2/27,2915
2015/2/28,2147
2015/3/1,1917
2015/3/2,2846
2015/3/3,3376
2015/3/4,2834
2015/3/5,2976
2015/3/6,2887
2015/3/7,2251
2015/3/8,1916
2015/3/9,2970
2015/3/10,3119
2015/3/11,2739
2015/3/12,2778
2015/3/13,2812
2015/3/14,2124
2015/3/15,1907
2015/3/16,2815
2015/3/17,3105
2015/3/18,2844
2015/3/19,2897
2015/3/20,2854
2015/3/21,2044
2015/3/22,1998
2015/3/23,2810
2015/3/24,3065
2015/3/25,2908
2015/3/26,2890
2015/3/27,2838
2015/3/28,2147
2015/3/29,1860
2015/3/30,2603
2015/3/31,2812
2015/4/1,2330
2015/4/2,3209
2015/4/3,3386
2015/4/4,2399
2015/4/5,1961
2015/4/6,2988
2015/4/7,3263
2015/4/8,3105
2015/4/9,2776
2015/4/10,2842
2015/4/11,2188
2015/4/12,1952
2015/4/13,2892
2015/4/14,3169
2015/4/15,3071
2015/4/16,2900
2015/4/17,2958
2015/4/18,2233
2015/4/19,1975
2015/4/20,2881
2015/4/21,3283
2015/4/22,3047
2015/4/23,3026
2015/4/24,3072
2015/4/25,2307
2015/4/26,1890
2015/4/27,3291
2015/4/28,3549
2015/4/29,2168
2015/4/30,3297
2015/5/1,3638
2015/5/2,2634
2015/5/3,2127
2015/5/4,2168
2015/5/5,2153
2015/5/6,2043
2015/5/7,3265
2015/5/8,3449
2015/5/9,2367
2015/5/10,2056
2015/5/11,3062
2015/5/12,3373
2015/5/13,2965
2015/5/14,2978
2015/5/15,3212
2015/5/16,2336
2015/5/17,1994
2015/5/18,2922
2015/5/19,3099
2015/5/20,3029
2015/5/21,2862
2015/5/22,2922
2015/5/23,2339
2015/5/24,1954
2015/5/25,3052
2015/5/26,3207
2015/5/27,2927
2015/5/28,2758
2015/5/29,2815
2015/5/30,2219
2015/5/31,1902
2015/6/1,3025
2015/6/2,3149
2015/6/3,3029
2015/6/4,2888
2015/6/5,2894
2015/6/6,2164
2015/6/7,1925
2015/6/8,2931
2015/6/9,3182
2015/6/10,3108
2015/6/11,3048
2015/6/12,3026
2015/6/13,2282
2015/6/14,1959
2015/6/15,2946
2015/6/16,3276
2015/6/17,3022
2015/6/18,2981
2015/6/19,2965
2015/6/20,2167
